Reviews,Polarity
"Good brand in the industry
Employee benefits are good
Many options within the organization to do more work",1
"Great company to work for. Highly motivating job, keeps people on toes gets the best out of them.",1
"Best in technology,benifits,good place for learning.",2
"Many leaders to follow
Performers are rewarded
Good for retail market experience",1
"this is best place to learn how to work in fast pace environment.
good HR and best compensation in the market with telecom operator",1
Good place to learn the basics of channel and distribution,1
"Excellent colleagues, your decisions and suggestions are valued",1
"Really take care of theie employees, good pay masters in the industry",1
"Good career growth opportunity professionally, good resources of data which makes problem analysis easier, strong network spread and the brand airtel.",1
"Healthy work environment, lot of things to learn, person can actually learn how to work under the extreme pressure from the management at same time with perfect work life balance.",2
Good Brand and food and Nice office interiors,1
"Reward recognition of work, encoragement, regular training on technology, management an d support of HR is the nest part for any employee.",1
i got very support from my managers,1
"Great Culture
Good Brand to work with",2
"Salary, Outing, Colleagues, Appraisal, Salary Hike",1
I like to be in Airtel its my dream to work in airte. Due to its relationship with costumers,1
"Quality of work, Business engagement, Exposure, Cherishing atmosfare",2
"Virtual Work environment is good .
There is no such work pressure.
work is fun if you know how to do it.",1
"Best in class work environment, employee sensitivity, good paymaster.",1
"Good Salary - very open to negotiation - always
Ppl with lesser exp managing big roles",1
best company to work for in telecom sector,2
Its an amazing company to work for,1
it is a first rank in india in telecommunication.,1
Good work life balance. Decent payscale,2
"Good environment to learn, good team work, resource sharing, you can gain knowledge of every field while working there.",2
nice infrastructure & working environment is good,2
"Good environment, excellent learning, support from management",2
"Fast Decision Making, Excellent Atmosphere, Work-Life Balance, Salary",2
Nice environment and best people to work with. There was no pressure from the top management and everybody is of helping nature.,2
Good Exposure. Good managers and seniors. Very friendly . ..... free coffee...... Airtel money.... Pay is good and motivating job.....,2
nice place to work with,1
Its good company to begineers,1
You can learn a lot about telecom domain. Good Leadership,1
"1. good company to learn
2.Good HR policies
3.Good increments on apparisels",2
"nice building, excellent cafeteria and food options. due to some company policies your in hand pay will be good.",1
To own the complete responsibilities assigned to you and place to learn rich expereince,1
"Job perks, flexible work options, great place to grow.",1
Supportive and inteletual based work.,2
"quick learning, fast paced, increasing responsibilities",2
"""My journey with airtel so far has been very enriching and exciting in terms of the breadth of exposures and diversity of assignments that have come my way. It has been very stimulating to get such diverse learning opportunities, that too in such a short span of time, in various domains of not only telecom but also the new ventures in the media and entertainment domain. Each year in this organization has provided me �� with a fresh opportunity to broaden my horizon in a very unique way.""Show More",1
"1) Very dynamic environment 2) High pressure, always on fire environment 3) The only true ICT employer in India",1
"no pay for intern
-people are shirk",-2
"HR is not supportive, No Career Growth, Not Employee friendly",-2
"Loads of discussions, VCs, concall etc",-2
"politics
unethical
zero thrust on employees and empowerment",-2
Bad paymaster .... Negligible increments ......No fixed time for increments,-2
Train your management to get a life and let employees live their work offs at least.,-2
"No planning , Just politics and Internal Rivalry of teams .",-2
Hike is less. Freshers are underpaid.,-2
"Politics: Appease manager for increment
Racism: Despite of big company with people from various backgrounds, No muslim holds key position even no holiday on eid on the other hand festivals like Navratri lights up the campus for 9 days with huge decorations.
Sexism: If u are girl with smart face, your increment will be definitely nice.",-2
"Management doesnt care about the employee

6 days working
no facilities provided for the employees
work life balance is messed up",-2
" Completely Un-Organized, Low Increments and Hikes,Work-Life Imbalance,Low Relavance",-2
Lot of politics at Management Level The government style of working No Accountability,-2
Company dont care about there employees.,-2
"1.) No Transparency 2.) Beauracatic 3.) No Proper communication. 5.) Still a long way to get into IT culture.

Wont fit for employees from MNC background.",-2
"Work is not good from learning point of view
Management is not good
Salary hikes are not good
You will be making and breaking most of the time because of poor direction and decisions from upper management",-2
Management is very pathetic. Seniors don't guide properly.,-2
"No lateral movement, no exposure, no growth, poor increments",-2
Managers being partial to team members thus giving skilled people less incentive than the ones liked by them,-2
 They do not respect Employees. Self Development is zero.HR do not help employees. Everybody is a Manager.,-2
"Mumbai anyways is a city where people are rude and want to fight with each other. Although it is a blanket generalization, most people you talk to in Mumbai will be rude because rudeness is as infectious as a smile! Jio embodies this to the core. If you work in Jio, you will be fighting with your colleagues on a daily basis. You will get directions from various people. Although nobody writes their designation in the � signature or even in the Employee portal. But people try to delegate work to anyone who they think may be younger or junior or less dynamic than them! Nobody likes to work here. If you are in a senior level, you will make 1 strategy everyday! And it will get trashed the next week. None of the documents are shared by people to other teams except the few confidants of Shri MDA (as they call Mukesh Ambani here). These guys are Shri MM, Shri PP, Shri JT, Shri KT, Shri Anish Bhai etc. Apart from these few even the CEO is a puppet. People do not share any documents with other teams. Different teams do not collaborate with each other and create their own plans. The situation is extremely chaotic here.
In terms of infrastructure everything is good, except that the car parks are not in the building but a little away. Walk to the building takes 10-15 minutes. The lifts are not well configures and people have to wait long for them.
Although you are actually doing nothing, they keep making you do something which gets trashed in the next few days. Its just a technique to keep you busy. And you will never be able to take vacation more than a few day although you may have weeks of leave balance because the management will give some stupid reason like launch which did not happen since last 6 years!Show More",-2
Only 1 person takes decison and others only follow. Raise your voice and get sacked.,-2
Very poor management. Top people don't even know what they want to do. Never join this company,-2
"poor management
blame game will go on forever
endless meetings
no growth
worst HR department",-2
Politics,-2
Please stope cheating employees..,-2
"Pls pls dont make ppl's life horrible,, do something and improve the life of existing employees
build up a ray of hope and career for existing employees.. else fire employees once you feel they are not useful to you",-2
"Companies expects employees to do something during recruitment and make us do something else during the tenure, need to work even on sundays without compoff",-2
"1.Increments are close to nothing
2.Freshers should avoid joining this place
3.Every activity and engagement activities mentioned by HR is only on Paper
4.Avoid putting extra efforts until and unless you have a post of Sr Manager or above because lower grade employees are just ""Resource""",-2
"If you are working as a software engineer.
1) You never get your CTC as promised.
2) Everyday you need to regularise attendance.
3) You need to pay every penny for every basic service like internet and get it reimbursed sometimes takes longer than 3 months.
4) There is probably only one HR for 100 people and he never cares about you.
5) Infrastructure is pathetic.
6) People working shout at …  each other not at all employee friendly.Show More",-2
Poor hike given or sometimes no hike given. State teams have no clarity on future plans of the company - company run on day to day firefighting mode. Nobody except members of apex team have any clue on what’s going to happen next. Power to make decisions or approve something only rests in the hands of few.,-2
"Work pressure, No process clarity, top management Got an idea night before you need to implement it in market by next day EOD. no hikes for two years, and for next two yrs also no hike. less number of holidays, you will have leave balance but god knows how many of them you can avail",-2
"Work-life balance is very bad
No process is defined everything is done in adhoc fashion.
Choosed most inefficient 4G band(2300 Mhz) with immature vendor samsung resulting in slow network deployment.",-2
You need to be present in office 9 hrs a day even when you have literally no work. You are not allowed to design the project. Salary is less than expected as Jio boasts NIT engineers. Work culture is bad. You won't learn much. The conditions here will force you to be uncreative. It's a donkey job.,-2
"Too much of Politics, worst attitude hr, no integrity, preferences only for referrals, no talents are recognized, talented candidates seeking job I would suggest not to get into jio, no proper recognition and remuneration, no proper performance appraisal, only people who praises the higher officials get the recognition.. Overall bad place to work in..",-2
"1. Company do not have any vision and projects.
2. HR should be more supportive.",-2
"You need to be present at the office for 9 hours daily - this can be a pain especially when there is no work that has to be done
Poor packages for anybody without an MBA or who is an expat
Poor work culture",-2
Remove the central leadership team.,-2
full of politics even from top management side.,-2
"No standardised pays and perks for people below manager levels, Uncertainity in work timings (9 hr<), Relationship with ex-employees.",-2
"1)Poor Management.
2)Delay in appraisal processes.
3)No define development process.
4)Crappy HR dept.",-2
Internal Politics across and within team has spoiled the environment at work place.,-2
Need to improve Interview process.,-2
Poor work environment and no focus on development of the employee.,-2
"1. more management less developers
2. bad for freshers
3. some work hard and some are laid back",-2
"1)Management should not do politics
2)Performance based culture to be inculcated",-2
"No work life balance, non-punctual meetings, stressful job, adhoc nature of work, loud & noisy very senior management, no incentives for working late or on weekends. Swipe in, swipe out, less employee friendly work culture.",-2
Increments are very low as compared to the work given,-2
"Work like a slave, no workoffs, no leave, no familytime, Im sure a reason for a divorse very soon. Unorganized management.
If o could minus the stars i would.",-2
"zero work life balance , less growth",-2
"bureaucratic
treated with no respect
no career path, strongly penalises loyal employees who have been working since many years, ridiculously low increments, no promotions.. only pays lateral hires well..
noone to guide, clueless HR
no clarity in role, expectations, ambiguity to the maximum...",-2
"Poor management, no transparency, no professionalism",-2
"1. They don't any respect of your new ideas
2. Hike will be very very less
3. Not a good company for freshers",-2
"Better treat their people nicely , who worked day and night to make your dream come true. Because your people is only your strength.",-2
"1. Salaries are not upto the mark
2. Growth is slow",-2
"WORST MANAGEMENT.. Government People and expect you to say ""Sir"" every time.. If you are coming here from Big MNC then i'm sure you will
Leave this Organisation within month",-2
"No process
No tech updates
hectic unwanted pressure
no planning
not much hike
no appraisal system",-2
BU HR Service is worthless. Better to redirect maximum queries and help to SSO HR.,-2
"1. Horrible management 2. People at top level starting from team lead are very arrogant in their approach. 3. Nothing is streamlined here. 4. As most of the HR people are on third party pay roll even they don't know answer for most of the issues. 4. There is no compensation for doing night shift, as per offer letter it says you are suppose to work only 45 hrs a week but they make employees to work 10.5 hours in …  night shift. 6. No proper training provided to new joiners by their team lead and management. 7. Lack of professionalism, managers shout like as if it is a fish market. 8. I would strongly recommend experience candidates not to join this organization as there is nothing much to explore, for every small decision you have to take an approval from your boss. No freedom provided to express ideas and implement innovative procedures.Show More",-2
"No leaves (need to work on Holidays as well)
No proper planning & execution.
No Hike. !!!",-2
"Too much politics , no leads. , role mismatch , tells to deal with the HNI vertical and lets you go on the roads",-2
"Things can move very slowly, highly political,priorities can keep changing, things are very quiet and then suddenly get very busy",-2
"No vision, no work, no future for people who want to grow career wise.
Overstaffed
Senior managers play the favoritism card
Difficult to approach the HR for any problem
No transparency, a vague representation of what the job title can offer and skill mismatch.
You never get what you are promised for e.g PLI and appraisals.
Performance review is a hoax, senior managers are biased",-2
no pros only cons in this comapny,-2
No Pros except one you will get salary for doing nothing and learning politics.,-2
"Work-life balance is low due to launch pressure.

No work life balance in company",-2
Very old school work culture due to manufacturing based history. Not a first person organization and relationships matter more than performance. Most roles are based in Navi Mumbai.,-2
"Can you imagine technology place where there's bad internet for months and nobody cares....
It's a government agency with lots of bureaucracy.
Politics is what you learn.
Waste of time when it comes to learning you will learn Politics...
Too much politics will divert your attention.
No vision.
No target.
Deadlines are scams...",-2
Poorly organized and very unstructured,-2
Some managerial burecracy was time consuming to finish certain task.,-2
"Worst HR department.
No transparency at all.
They can give you sudden transfer without your concern.
Time management is poor.
Money and man power is not utilised properly.
very less increment.",-2
"A lot
1) Salary is too less for a fresher
2) No knowledge gain.
3) Manager, everyone is a manager. No work done except for updating excel files.
4) Work culture.Seniors doing nothing and ordering juniors to do their work too. Enough said.
5) Most of the freshers leave the company within the first 2 years,else you cant bag a job anywhere(due to lack of knowledge gain)
6)No benefits ,even a chai in a …  team meeting is billed against your name.
The list can go on and onShow More",-2
Best place to have a crash course in office politics,-2
Even if you fell sick for two days. Company will fire you without any notice.,-2
"Multiple Leaders, Multiple Direction, Duplicated/Quadrilateral Work, No Synergy Interdepartmental.
Boss Oriented 'Leaders' not Company Oriented",-2
There is a lack of transparency.,-2
"Poor salaries.
poor work life balance.
Dont prefer this to anyone",-2
"Very bad HR
Very different behaviour of employee and not much friendly they do not value your time.
There is no system to follow and everyone does things in their own way.
No proper care of employee and people are not cared much.
No proper communication between teams and it makes difficult to work in this environment.",-2
"Top heavy, family-rum management
No authority",-2
NO PROS.. JUST A BIG BABU COMPANY.. Nothing Good about this company,-2
"ONLY VEG FOOD(exception of only one particular canteen),Laid back attitude of management, NO HR SUPPORT,HR DONT WORK AT ALL, NO RECOGNISITION FOR GOOD WORK AND TALENT,6 DAYS WORKING FOR SOME TEAMS,Check with HR BEFORE JOINING AS HR CHEATS AND DONT INFORM ABOUT 6 days work PRIOR JOINING",-2
It is a worst company ever. No need to even join the company.,-2
"Extended working hours. Too much work pressure.
Mis-managed and mishandled projects
working Saturdays, late sittings
work politics in upper management
Appraisals seem to be at par (very limited ie) for almost everyone regardless of your performance.
-PLI included as a part of CTC",-2
"Worst work culture.
Heavily bureaucratic organization. You'll need an approval for everything.
You're expected to work on Festivals, holidays and late nights (2AM/3AM and so on).
Mediocre pay.
No Work-Life balance.",-2
Rather than dominating and suppressing the employee the management should focus on motivating and promoting a culture that allows an individual to grow ...,-2
Poor increments and promotion cycles,-2
"Indecisive bureaucratic top management, lot of internal politics",-2
Horrible work culture- backstabbing senior managers,-2
"No life-work balance, No good canteen, can count people below 25 age on fingers mostly Elders are working",-2
"Night shifts, monolithic work, hectic schedule of time and work management",-2
"1. It's like government organization
2. As a developer, growth is less.
3. Salary will increase but no promotions
4. No proper working plan",-2
Long working hours.. And concall during night time... No leave on public holiday,-2
"Very Low salary, bond like salary breakup, not working in a structured way your manager will be someone you have never seen .Long working hours compulsory 45 hours a week. No free Food or coupons",-2
"Nothing i found positive..
Nothing i found positive..
Nothing i found positive..
Nothing i found positive..
Nothing i found positive..",-2
"Their are some evil management forces in this company which likes only sucking the blood and brain of employees.
Full of illeterate marathi , bengali and oriya punks. Makes people stay nights to complete work. There is no well defined procedure and design to achieve a goal or get a job done all happens in a hap-hazard way just to get the work done ,and impress the hitler bosses and higher management, least …  bothered about the quality of the work done. World's best practices and ideas are followed only on paper not in the real job done. Very poor company culture, if you work hard there is no appreciation or compliments from your manager but accidentally if even a minor thing goes wrong, they are ready to beat the hell out of you. The ones who work hard and sincerely get scolded often but the ones who know to keep their bosses happy are awarded out of turn promotions and hikes. No growth scope for the youth here either in terms of knowledge or salary. Best company to retire if you are above 40 . To get in such a company you need to have some acquaintance with someone already present in the company. Moreover, if you belong to R-COM you will be welcomed whole heartedly.Show More",-2
"None I have found out so far, only disappointments and frustrations have come in my experience here so far.Learn politics from here, learn how to exploit the young people and get work done.",-2
RAISE YOUR STANDARD AND LEARN TO TREAT YOUR PEOPLE WITH RESPECT.. ITS A BIG BABU COMPANY,-2
"1.Yearly increment
2. Variable amount as a part of salary
3. Dirty policies
4. Higher management decision are the final decision (top to down work culture)
5. People driven company",-2
Salary increment value is low than startup,-2
"I can bet that 95% of the people, if given a good opportunity will leave this place.I can see it on their faces. The reason is only one. You wont be having any value what so ever.
Boss is GOD. Any opinion and curiosity will be crushed right at the moment. No body cares about the user's. Boss is happy,then all's well.
No body knows what is to be done. no clarity
If you are capable to clean Boss poty- this is …  fantastic company
If you have experience of 10 years- you will be doing filing and data entry job
mass excess hiring for what reason
RIL is working of MARKET KILLING Concept and I am one of the victim now
JIO is going to big flop like ada communications
because you have spoiled many people career
None of the professional person is going to stay there for long time

Innovation does not exist. Freedom does not exist. Merit does not exist.

And the remaining 5% who stick to their job would be the ones at top management level.

So if you are 40+ and looking for a change,you wont have a better place than this.

If you are young and willing to learn,this might be the wrong place for you.Show More",-2
Worst environment of working. Nothing new to learn there. Worst salary. No need to have the qualification of B TECH for working in the quality assurance department.,-2
I would not recommend this company for any Functional people. Too many politics. No proper policies set. HR doesn't have any control,-2
"timings are too long.
Saturday is a full day.
Rest everything is good. Difficult to say anything bad.",-2
"Very poor management
No importance given to employee's needs",-2
"Development process is slow.Less learning opportunity for new technologies in software development.
Not a very good company for technical people especially from CSE",-2
"Nothing. If you wanna sit lazy, join this company.",-2
No appraisal. hopeless HR. Need to consider better minds as a assets,-2
"HRM is pathetic.
Lots of Biased people in the organization.",-2
Need to set aside politics and award performers. More than half the workforce are young professionals and a positive experience needs to be laid out for them,-2
"1. No sense of direction or no communication for products or launch
2. Random hiring, so people who do not know at all about consumer markets or digital/telecom business have become heads or so-called heads.
3. Dirty politics - very very dirty I would say.
4. All the so-called heads try to be in good books of the senior management and hence have become sycophants. These people were hired to give a direction …  to new business, but they just don't open their mouths!
5. Trying to apply petrol/oil/polyester techniques to consumer business.
6. No co-ordination among teams. None at all. Everyone has their own kingdom.
7. Ghansoli - Please don't call it Mumbai. It is Navi Mumbai.
8. 6 day work week. Who has 6 day work week?Show More",-2
"technical skill will go down by the time, you will used to kill your time. no improvement in yourself and no challenging work.",-2
heavy redtapism very poor infrastructure,-2
salary is very low..career growth is not here..no job satishfaction,-2
"full time you have to give to the company, no personal life.",-2
"Do what your boss does....good or bad
Unfriendly
Late hours
unwanted and long meeting with zero efficiency
Old school board
time in time out",-2
"starting salary low,
very less learning,
no liabilities,
very little growth,
HRs & Management don't have process defined.",-2
No work life balance at senior levels,-2
the place which i were present in work culture is not good people were not cooperative my whole time was wasted i coudnt learn anything,-2
Long working hours with no compensation,-2
"1. Below average work culture
2. Lack of professionalism
3. Chaotic because of poor planning
4. bad work life balance",-2
"Things move slowly, bureaucratic environment",-2
"No work ethics, no professionalism, full of politics, very little or no hike at end of appraisal year and that too not given till december",-2
"Don't play politics, discuss with all peers and try to 100% transparent system.",-2
"There is no thing called working environment, only vendor bashing is there",-2
"- Worst increment percent of about 5 to 10%
- Worst politics
- Nothing to learn, just work, work and work
- No appreciation for work",-2
They recruit CSE and ECE engineers from NITs to perform functional testing while the actual development is outsourced. A big no for freshers.,-2
"Work will be allocated to you only if you have done proper buttering to your manager otherwise sit and watch.
No internal hike and worst HR policies.

Think 100 times before joining.",-2
"career development is not there ,no increment in post ,timeliness in job.",-2
"* No time or money spent for individual's improvement.
* You'll spend lot of time in internal politics than real work
* Lot of planning less execution
* Lot of abusive words in work place
* No respect for individual and there role
* Power driven company.",-2
Bakwas company!! They are just cheating.. during interview the HR will say this is On-Roll but after that they will take in Off-Roll.. 365 days working.. 16 hrs daily working.. work- balance is just poor.. i would suggest never apply. Please spread this info to all..,-2
"none , its blot unless you want learn politics",-2
The management is not at all friendly and the work culture is pathetic . Senior management will treat you like a slave and there is a no transparency .,-2
"Nothing as no point in any advice
they are not going to change their useless culture",-2
I feel the management should shuffle people after taking their areas of interest and their skills into consideration instead of randomly putting people into places where vacancies are available.,-2
"bad management, bad work life balance, not recommended for entry level job seekers",-2
"work culture is like any other government office.
-Not so helpful managers and Hrs",-2
No work at all. god knows when they are going to launch 4G service on pan -India basis when even 3G doesnot have pan-India coverage. Lot of politics. No interconnection between managers . Worst HR department. very less pay for 9 hours daily work . worst work culture. Poor Infrastructure. HR department always take the comments on a result of experiment that was never carried out as TRUTH. No Professionalism.,-2
"Please, don't expect engineers to work like clerks or store workers. How can you expect us to do shutter up and shutter down acts? That doesn't make any sense. It's been more than two years since your company is running well and making money so it's not a startup anymore. Please define all the job roles and duties properly now.",-2
"1. No work life balance.
2. People are offered a ""Joining Bonus"" but on the day of joining, they need to sign a 1 year Promisory note where you agree to work for an year else pay back the amount.
3. Loads of office politics. You are not allowed to stay ""neutral""
4. Though the claim is of a new age company, there are old time Reliance folks running it in the ways best known to them.",-2
"Leadership is directionless
- Not recommended for software engineering",-2
Highly bureaucratic management architecture. No clear responsibility and clear guideline. Employee satisfaction NIL,-2
lot of pace but no productivity due to lack of planning & deviated focus. unnecessary rework & wastage of productive time of resources & factious pressure. no flexibility in time,-2
hr policies are not so good.. they should meet employee once in awhile...,-1
After sales better service customer needed,-1
Need to be employee friendly,-1
Fluid organization structure sometimes can leave you confused,-1
No Shift Allowance for evening and night shift.,-1
worst timings and no week off on weekends,-1
"if you want to join any private company where culture is similar to PSU. Come office do nothing, take lunch and go home",-1
"Very Less pay
Pathetic work culture
Bad infrastructure
No respect to the employee's
Saturdays working
You learn only politics (more than you imagine)
Worst HR",-1
It Lacks professionalism in Senior management. They work in their traditional way. You might not like the culture if you're coming from an MNC.,-1
"Work Pressure is high, sometimes need to do over time.
Transfers are high.
less salary increment",-1
work culture can be old school some times,-1
"1. No Deadlines .. Life can be lived only in meetings and mails :P
2. Top management and Developers have huge gap and decisions are based upon the product managers views and understanding which have many a times proved fatal
3. Performance bonus Depends upon ur relations with ur L1 and also the notice period :(.",-1
supervision needs improvement so that it becomes more productive,-1
strict timing and team changes on the management wish.,-1
management should have more caring attitude towards the employees,-1
Slower growth when compared to similar industries,-1
The official staff is not communication,-1
"Old employees think that whatever they do is right but actually they are not always right, but unfortunately nobody can disagree them as they are so much influential in higher management.",-1
"No work life balance, Saturday working",-1
nothing in state office in backend profile,-1
being start up company more perks should be offered & innovative work should appreciated. Should drive focus on process oriented delivery rather that individual driven deliveries,-1
"If you are smart enough and got some good contacts in the organization, get some good hike at joining itself. Thats it, nothing after that.
You are a sleeper cell",-1
try to help employees. dont play with their life,-1
Give more freedom to next level managers,-1
offers low package for freshers.,-1
wage are very low need to increase,-1
Bring in some Transparency and good Work Life Balance,-1
Time management working hours Woman's wellness initiatives needs imprvovments,-1
N/A - couldn't find any except for management,-1
"HR of no use.
Start Up so not so good management",-1
Treat your employees as if they are your customers. Main reason of delay in launch plan seems to be disengaged and uninterested employee group.,-1
MY PAYMENT IS SO LOW BECAUSE I WAS WORK HERE FROM 1 year and didn’t got any increments,-1
Work life balance is missing. Rewards and recognition is not there. Career growth path is also not clear.,-1
less pay package and hectic work schedule,-1
Irrational top level management,-1
Does not have clearly defined processes,-1
Heard that the hierarchy and politics are too strong in the company. But I feel that is the case with other massive companies as well.,-1
management has to be polite for lower position employee they have to treat us like we are also supportive,-1
Slow decision making with a lot of uncertainty,-1
"Team lead was horrible,
salary was low
no new technologies",-1
work life balance is not gud,-1
no space for extra activity like gaming area.,-1
Jio offer very less package and yearly increament also,-1
"Opaque Management, Hardened Rules of functioning, lesser opportunity to bring change.",-1
Sometimes 24*7 work due to escalation,-1
Provided salary not enough.,-1
I think higher speed of execution is needed with defined timelines and clarity for the employees,-1
nothing can change the beast... u cannot suggest anything here,-1
"Higher management guys don't know how to manage ans sometime behave stupid
Not recommended for freshers
Work culture unstable
Flexible time not proper",-1
Monetary growth is bit slow. And accommodation facilities not available like some other firms.,-1
bad management no work life no,-1
"Slow growth a bit easy to go work culture
Multiple teams for same task creates ownership issues",-1
Reduce micro management,-1
Salary needs to increased based on work cadre and package level than unique incremental,-1
Cluster wise testing and it's very difficult to done PCI in same cluster ......,-1
1. Mid level management is not that good.,-1
"1. Please ensure that appraisal is given in time
2. Management is very poor. Some have loads of task whereas some is sitting idle for months.
3. HRs are of little help",-1
"Low pay
No learning
Stagnant atmosphere
Complacent attitude
Testing department was too boring and monotonous at times",-1
Might not get fired easily,-1
"The company is over dependent on vendors despite hiring some best people from the industry.

Absolutely no process is there or any respect for it.",-1
too far if you live in western suburbs,-1
Too many extra working hours,-1
Make system transparent to employee.,-1
"Legacy issues, old Oil and Gas style management style wont work",-1
Less monitoring of your work. No manager interference,-1
"No delegation of authority
Unnecessary delays
Confused management
No respect for employees
No work-life balance",-1
"people gets very less percent of hike or increment. Also, more team outing per year should happen. Rest all is good.",-1
Ideas for improvement should be shared and actualized at the basic levels too.,-1
"Too archaic in terms of policy. No one has, or talks about accountability",-1
"Lack of Professionalism, No technical superiority",-1
Some processes are lengthy and not defined anywhere.,-1
growth becomes stagnant after an year or so.Youhave to flatter bosses to get good appraisal.,-1
Dont trust manager and hr . All are good in giving false statement.,-1
U feel tension because here u have 3-4 managers giving their own work to do.,-1
Not good for Support Services,-1
Limited growth with hierarchial structure,-1
supervision needs improvement so that everyone becomes productive,-1
Need to take faster and swifter decisions. Respect employees.,-1
Should pay more to software developers,-1
Upper management is least bothered about how associates are managed at low level. In my experience if your team is not performing that clearly means either there is a problem with the leadership or leadership is not that strong so that their team can perform the tasks effectively and efficiently. Top management should take skip level meetings with the associates to understand the challenges faced by them. They …  should not only be involved in making fancy ppt slides but they should also take a look at the ground level to understand the things better.Show More,-1
Low pay scale to some employees,-1
Hardworking....not that much co ordination with senior....,-1
office time is not good and much work,-1
"Please make jio a place to work , not a place to never work .",-1
Pls u need to hear employeees issues,-1
"You dont know which team and which project , you will work on in next month , they can make you work in their store also according to their requirement .
Nobody knows anything about appraisal , if it happens it happens in sept or oct.",-1
"Whimsical decisions sometimes, unregulated working hours during pressure, not a lot of perks.",-1
No clarity in job profile,-1
"Lack of Learning facility, Slow growth",-1
The company does not have a work-oriented environment.,-1
work life balance is difficult here,-1
Please respect your subordinates and respect their hard work,-1
"My team lacked leadership.
Everyone is busy impressing their boss",-1
Need improvement on employee engagement. Replacement of senior management.,-1
"No process, no technical work",-1
"No learning, growth is stagnant. It is difficult to get noticed in the organization",-1
Multiple teams doing the same thing,-1
sometimes long working hours and nothing else,-1
Don't take good employees for granted,-1
"1. Do increase the salary for good workers.
2. Please get good projects to keep employee engaged.",-1
Work Life balance is not definate,-1
"salary is not good as per working experiance, & selection procedure should be slightly change",-1
too many people which reduces opportunity,-1
"* Management needs to bring good IT leaders and change culture if they want to sustain for long run.
* Short term people might join you but energy spend on training them will be lost as you choose best people and put them under bad leaders who will suppress all innovation.",-1
increase the salary,-1
Poor Increments and incentives to the employees,-1
"From lack of basic HR policies to no career growth, add to that a management who has no idea what they are doing.",-1
No proper benefits so employees won't stick around much.,-1
A flat hierarchy does not allow for promotion and does not reflect the actual value of the employee. It would be beneficial if a little hierarchy is maintained. A better and competitive salary could be given to the deserving.,-1
No balance between personal and professional life,-1
"Too much dependency on higher management
No independence for decision making
All old people will regularly remind u of ur experience and not consider Ur bright ideas.",-1
"New Technology, Learning, Gain knowledge any domain",-1
"Low compensation
Bad work culture
Job description is not at all specified even after 3 Months
No corporate culture
No off on saturday
Not a good option for freshers
Increment and Appraisal policy is not strictly observed.
Most (99%) of the time task given is irritating.
Never feels like working in corporate office, the work culture is similar to that of working as helper in local market.",-1
low starting package for the freshers,-1
Be equal with employees and make proper communications.,-1
No music while working so need to work on that,-1
it is seen that Individual performance is averaged with others. company encourage retaining older people & Promotions are very late for young / middle age employee.,-1
Work provided by Architect is challenging and is not monotonous.,-1
Job profile limits your growth,-1
Management should look into the work culture to be more responsive & goal oriented instead of following the same culture being dragged from ages.,-1
The project life cycle is a little short lived due to which working culture is a little chaotic.,-1
"Less scope of interaction with higher authorities, some times work process slows down for want of orders from the head quarters, less detailed on some issues",-1
Childish behaviour of bosses. Forces to work 24 * 7. Everything is a priority and needs to be completed today. No work life balance.,-1
No power other than top management just handling operations. Not getting appreciated enough. Always the company wants cent percent results. Not a practical view.,-1
"Campus is pretty...that's it!
Good for people who want to retire or who have no ambition.",-1
Give more challenging tasks to young bright minds.,-1
No work from home policy,-1
Work is not balanced within the employees,-1
"1)No Growth For Fresher
2)Poor Management, They Don't have a vision
3)initial Salary is low (in hand amount)
4)Lack of Professionalism, No technical superiority
5)Demotivating environment",-1
"Career growth get stopped ,",-1
Employees are human beings not just resources,-1
hierarchy! decisions and exceptions delayed,-1
Deadlines are not met because of adhoc requests by business team,-1
"Kindly work on employee motivation
give them time to spend with their family",-1
Its easy and cheep to use poor and middle class family,-1
Don't make fool to the people by hiring them as a developer,-1
increment / bonus are not on time.,-1
Company needs to think beyond old guard. Encourage unit level accountability and celebrate winners.,-1
"No, one can support/understand your personal problems.",-1
Less of practical experience and more of theoretical aspects,-1
"Not giving any benefits (for e.g :- bus fare compensation, and bonus )",-1
too much confusion about everything,-1
Lack of intricate care for the employees,-1
Low salary compare to work.,-1
The tech team have to report sales manager who dont know anything about Tech... very bad model of reporting especially in Jio centers....,-1
"HR department, please give attention to problem of the people. Do get appraisals at time as it is the right of the employees.",-1
"working in shadow,no guidance,any how have to done given work",-1
"There are multiple people doing the same thing, so it's not necessary that your work will be selected.",-1
I have not any downside for jio but administration is bad.,-1
"Speed, alignment, discipline, reservation for the small sector, unnecessary control",-1
Appraisal process need to improve,-1
the drawbacks of working here was continuously working,-1
"Most of them says the world is efferent here, yeah may be someone came from a MNC software background, its always an availability based job so such pressure will be there.",-1
The Salary was Relatively low compared to industry standards.,-1
"not much work
same product/project is developed by many teams
innovative products, but dont know how many will launch",-1
Has no work culture and highly unmanaged in a few circle,-1
working on Saturdays .Need good infrastructure at regional centers,-1
No empowerment for employees. Too much of control at the top. A lot of unproductive work.,-1
Management never interacts with the low level employee.,-1
Location issue... Office bases at very small location,-1
Very necessary to respect all level of staff. Work life balance is required. No one should be forced to work 24 * 7,-1
salary hike is 30-40% in some team whereas 3-7% in some team.,-1
Don't get to learn many technical things,-1
