"","X","Reviews","Polarity"
"710",882,"no cons i can think of",1
"711",884,"Compensations, not pushing you to your limits. If you are really ambitious person about learning new things some times you feel like you are trapped in the same environment.",-1
"712",885,"Slow decision making, not many career development opportunities",-1
"713",886,"Little room for promotion, little room for initiatives (nobody looks outside their own little box), very slow on procedures, low wages",-1
"714",887,"Some local managers have spoiled the otherwise very dynamic business atmosphere. Can get monotonous working in a big company with set processes. Opportunity to go abroad are minimal.",-1
"715",889,"No Down Side for Vodafone happy with work.",1
"716",890,"Salary and growth is the only negative aspect",-1
"717",892,"No Growth
Completion Kills
Bad Senior Management
Pay package
Company stopped growing",-1
"718",893,"The company doesn't believe in honesty and integrity. There is lot of difference between what they say about code of conduct, honesty, integrity and what they actually practice. If you are the unlucky one who reports about a serious violation, be rest assured you will be retaliated against and no one will protect you. Whether it be their whistle blower policy, or whether it be the senior leadership level right at …  the Group leadership level. Advise to employees, if you see something wrong and your conscious doesn't allow you to live with it, just change your company rather than assume that you will be a hero if you complain, you will end up being at the receiving end. The processes of Vodafone when it comes to Redressal are really pre-historic, no transparency, no appeal, no hearing, no defense and above all, no closure.Show More",-1
"719",894,"Too much pressure, management politics",-1
"720",896,"Stupid merciless/heartless manager who always like to screw resources.
Dumb TL's who dont have power at all. They will never support Resources.They always polish manager's shoes and listen to what he says.",-1
"721",898,"No work life balance , tremendous peer pressure",-1
"722",899,"Vodafone gives unnecessary pressure to employees.
This company is hell for field employees.
No Holidays.you have to work for Saturday and Sunday as well.",-1
"723",900,"Not Innovative
Actions take lots of time to be implemented
Processes need to evolve",-1
"724",901,"Low salary budgets
 No Work life balance
Short term focus of managers
Communication from leadership to last mile
Too much cost focus",-1
"725",903,"Very poor at recognising and rewarding staff. Pay and benefits have stagnated and yet management keep trying to wring yet more out of teams for no reward.",-1
"726",905,"HR is bit harsh on employees",-1
"727",907,"Your opinion and wishes is not really heared
Positions are going to be migrated to Romania and India in the future",-1
"728",908,"-sometimes when managing to promote into a better position (for example from front office to back office) the salary increase isn't that great, compared to, let's say, someone that comes from another company, from the same front office position, into a ba",-1
"729",910,"office politics can kill your growth",-1
"730",911,"Not Applicable, really enjoyed working here!",1
"731",912,"Hectic work Schedule, No Social Life",-1
"732",914,"Putting an bad image to the parent Vodafone company.
No further career opportunities.
Failed Indian Management.
UK Management totally non-co-operative.
All Tech-M and Amdocs non-sense crowd.
No Shift allowance even though HR will promise you the same.
Pathetic transport facilities. Worst in Pune.
Big time politics.
BPO like seating arrangement for IT technical people.
Managers don't …  respect lady employees.
Buttering is at it's best in here.
Dumb management, people usually with fake qualifications were hired and are made to run company.Show More",-1
"733",916,"No Cons so far for this organization.",1
"734",918,"Less Opportunity for Travelling, Loads of cost cutting projects",-1
"735",922,"Not properly structured....
All powers are with your manager,
Work ethics are missing.......
Manager is always right....",-1
"736",923,"No respect for employees...poor environment.... everyone thinks that they r the king and can do things the way they want to....",-1
"737",924,"less pay but good benefits",1
"738",925,"Work Timings are not flexible",-1
"739",926,"1.Process isnt well organized and not following ITIL that much.
2.As a result that makes things somehow complicated at the time you need simplicity to finish your work",-1
"740",927,"No Pay for 2 month
long working hours
Management is not professional
Exploitation of staff",-1
"741",928,"work pressure, handling different characters",-1
"742",930,"People dependent and not process dependent",-1
"743",932,"fast moving culture, requires resillience, adaptability and flexibility.",-1
"744",933,"Challanger circle can really challange ur career. Not suitable for senior women leaders",-1
"745",934,"not value for money often so a hard sell
overzealous managers
hard to get promoted",-1
"746",935,"No structure or process here",-1
"747",936,"Management
Almost no young people
Sometimes no place to sit
Slow process
Mistakes in process
Poor teamwork
Poor communication",-1
"748",937,"Politics ...which you can find in any other organisations",-1
"749",938,"Flat structure so little prospect of promotion and resulting salary increase, no transparency around salaries and relative hierarchy across business units and teams, the M50.",-1
"750",939,"To many frequent changes in top Managment
Does not belive in holding on to resources, they let everyone go but will not allow internal transfer
Lacks transparency in hr policies",-1
"751",940,"No HR supoort.
People through a lot of atittude.
Politics
No growth
.",-1
"752",941,"Manager are suckerrrs they dont have back bone",-1
"753",943,"Personally in my last role there were not a lot of cons for me.",1
"754",944,"Slower career progression, Regulatory environment also looming as a risk due to change in govt policies.",-1
"755",945,"Very good experience i have done in vodafone best sales executive.",1
"756",946,"low salary offerings
growth is moderate",-1
"757",947,"Nothing as such all was pretty good",1
"758",949,"VERY BUREAUCRATIC, Limited growth, NO NEW THINGS TO LEARN",-1
"759",950,"Limited growth opportunities in the company",-1
"760",951,"Career progression may turnout to be slow @ Vodafone. Is highly process driven considering the dynamic telecom market. Believes in reactive marketing approach.",-1
"761",953,"The only problem with Vodafone is internal communication and the handing off of jobs to other people when no one knows if it is them who is supposed to be dealing with it.",-1
"762",954,"Working Hours are like they are exploiting. Phones not allowed",-1
"763",955,"Almost every employee is hired on relative relationship in vodafone.
and Senior help them to get good package and flexible work hours.

where actual hard working employee get frustrate due to this.
very less allowances.
PLA policy is worst.",-1
"764",956,"Work at the circle level is not as professional as at the corporate level.
Everyone keeps complaining and praising the company at the same time, confusing the new recruits.
Sometimes the processes arent very smooth.",-1
"765",957,"There was less growth , Delay in appraisal,",-1
"766",959,"great customer base, but though targets",1
"767",960,"work under pressure and continuous work to meet targets",-1
"768",961,"not good salary and small period contracts",-1
"769",963,"everything. leave and go, if you want to save your career",-1
"770",965,"There are no negatives to share",1
"771",968,"If you live within a 10 mile radius you cannot drive to work, but have to park in town and take a bus. Some people have to drive past the campus a mile, then park and then take the bus.",-1
"772",969,"Work life balance may suffer due to the work pressure sometimes as you may have too many deadlines to chase.",-1
"773",970,"Pressure to deceive people to hit targets
Had employee discounts taken away despite this making it more difficult to sell the products
Had very little in the way of consistent training and had to learn a lot by myself",-1
"774",971,"It is not easy to promote
Technology department is behaved like a less important department in company
Organization is complex",-1
"775",975,"Mumbai life style sucks as located in Lower Parel, travelling is pain. min 4 hrs a day.",-1
"776",977,"Disgusting upper management. Way too much politics. Too much favoritism and biased nature of upper management. Too much unrealistic pressure. Not at all an employee oriented company. Company doesn't value employee satisfaction or talent. No action taken against anyone in case of escalation against senior managers. Policies are changed as per upper managements wish without informing anyone.",-1
"777",978,"The Employee hirerachy levels and experience are largely skewed , no relative parity in experience and designations- this is not about talent.
Promotions are largely on favourtism - who knows who and what you do extra for your manager on a personal basis - boot licking works like anywhere.
Talent is signifcantly underscored , to many they need only bogies and yes men. Merit is an understatement.
Flexibility …  is one thing and being pushed around like football is another , if you are strong hearted for the latter , this is a great place , else just the opposite.Show More",-1
"778",980,"More Workload and gets less focus on personal life",-1
"779",981,"Highly competitive. Sometimes you can encounter unhealthy competition. Currently going through the cultural change process and there is a lot of tension",-1
"780",984,"kind help people peshant proud of my vop have information have skills have a power have a good look have a good ideas",1
"781",985,"1. Everything depends upon your rating. If you have G rating then only you are eligible for other facility like Certification exam reimbursement, Internal Job posting program, Variable Bonus money.
2. Position are not allocated as per experience.",-1
"782",986,"Growth restricted to a social group & people well connected to top management (old pals) fast decisions even without consulting concerned managers, always ready to fire people and cause trouble if talented people willingly leaving, East India company management style - talk about unity and transparency but divide and rule, Innovation or going extra mile is subjectively accepted by the social group managers …  despite one did it over and above accomplished KRAs.Show More",-1
"783",987,"I need to be one of the best to do all of the chelenges",1
"784",988,"Off Late extreme case of work life imbalance",-1
"785",991,"work pressure- teelcom is very fast moving.so dont join any teelocm comany if yoiu are not in for the fast pace.",-1
"786",992,"Operation extensive job without rewards.",-1
"787",993,"- corporate, stuck-up, and inflexible
- no work-life balance, strict working hours (there's 1 home office/week, but under certain rules)
- inconsistencies about working schedules across departments
- internal communication isn't great
- HR is overload",-1
"788",994,"you should teach your agents to give respect to customers. You are losing your good will in the market.",-1
"789",995,"non employee friendly and no proper management",-1
"790",996,"Pressure work situation in sales",-1
"791",998,"Can get a bit slow in decision making
Getting agreement from over 20 countries can be a painful process at times",-1
"792",1000,"Cons:
1. Food coupon and Cab money is deducted from our takehome salary of 1000 each
2. If you are looking into full techincal things like developing,then vodafone is not preference
here it's only troubleshooting things
3. Need to work even on holidays",-1
"793",1001,"You have to have the ability to learn fast.",1
"794",1002,"Merger, long working hours,",-1
"795",1003,"Very political. It’s not what you know it’s who you know. Very slow when resolving staff issues like pay and bonus issues.",-1
"796",1004,"pressure is more as compard to airtel",-1
"797",1005,"continue as is and promote more fun filled programs",1
"798",1007,"very hectic no work life balance",-1
"799",1008,"excessive pressure on acquisition",-1
"800",1009,"They recruit IT resources but No actual IT work , most of the work is outsourced.",-1
"801",1010,"No disadvantages as such experienced",1
"802",1011,"Life Style is affected by On-call Support.
Excessive Work Load.
SLA's to be met with Approvals.",-1
"803",1012,"giving low package to fresh graduates/ entry level candidates and taking to much of work. and i am also a part of getting low salary.working as business development manager and getting only 15000",-1
"804",1013,"No disadvantage, I want to shift to kolkata. My hometown.",1
"805",1014,"Performance reviews can be intimidating. Depends on your manager.
Upward career progression opportunities limited.",-1
"806",1015,"No career progression, No Bonus, No salary increase after 4 years",-1
"807",1016,"none so far. But be sure if you want to be in this industry its best",1
"808",1017,"The work culture has deteriorated from an open, simple & positive one to a culture highly influenced by certain individuals.",-1
"809",1018,"culture, local, think small, telco, lack of vision",-1
"810",1019,"Slow growth and promotions, heavy work load, long working hour, completely controlled by reporting manger, faulty grading system..",-1
"811",1021,"Management intolerant, stiff targets (not based on geography & terrain), Not flexible with strategies(competitors advance easily then), no work v/s life balance, no concern for ground staff.",-1
"812",1022,"Sometimes work longer than necessary without extra pay",-1
"813",1023,"too much levels and hirerchy",-1
"814",1024,"No cafeteria
Poor toilets
Access problems on many floors
Bad politics played here",-1
"815",1026,"Lack of System, most works are carrying out manually",-1
"816",1028,"Management works on archaic manner. Tough it commits that merit is the key but you really need connect in top leadership to grow faster.",-1
"817",1029,"no cons at all. great place to work",1
"818",1030,"Cons I don't have with Vodafone India",1
"819",1031,"More often than not leadership is poor
Too many focus areas lead to no focus at all",-1
"820",1032,"Pretty much everything else.

The usual bad corporate leadership, in spades, often profoundly dysfunctional in its approach and its internal relationships (eg. working with the local markets who actually, you know, do stuff).

A genuinely weird 'business manager' and 'chief of staff' directors' offices org structure means each director has a 'business manager' to hide behind while the CEO has the same in …  the form of a rabid and heavily armed pitbull; it was the most comically awful thing I've seen in 1.5 decades of UK corporate life, but it does allow a bunch of very well paid white men to avoid dealing with actual human beings on a daily basis while they come up with new ways to avoid paying tax.Show More",-1
"821",1034,"mid level salaries, bad transportation",-1
"822",1036,"stress,lots of teams to co-ordinate",-1
"823",1037,"1. No growth
2. No learning
3. less pay
4. Nobody cares to train new entry level employees.",-1
"824",1038,"Politics is the one negative",-1
"825",1039,"Politics by senior manager in org.",-1
"826",1040,"Delay in Professional growth .discrimination in carrer growth though good for the starter or new comer",-1
"827",1042,"The company is very big and while it tries to change and evolve, the processes are typically complex and slow. The HQ is also known to be one of the most political environments.",-1
"828",1043,"Very few promotion opportunities. At the beginning it seems everything is possible, but after some years you realize that the only way of progressing is being equal-minded to the rest (people that think different is not accepted) and making friends with someone senior that can foster you. Many times people with talent leave for better opportunities outside.",-1
"829",1044,"There is Old school Management style. no one dont help you from other departments. So you should always push somebody to do your work.",-1
"830",1045,"Revenge attitude of Management. Top Management in Circle Look out for scapegoat to hide behind their failures. Favoritism will kill this company. Many talented employee left just because of one rotten Senior Manager...........No place for hard work...you will grow if you are in good books of seniors and PERCEPTION IS MORE IMPORTANT THEN RESULT.",-1
"831",1046,"Inhumane hours , stress , treatment and expectations
Turns people into back biting animals after a few month
Say and publicize one thing about environment, women and safety and do not really care when it comes between money and that",-1
"832",1047,"The organization is too large and has lost effectiveness. Work was very monotonous and in certain regions like Madhya pradesh, there weren't enough checks to protect the employees. Senor mangers make people work even on weekends.",-1
"833",1048,"work life - family life balance is low . always overloaded with work pressure.",-1
"834",1051,"nothing...observed not any cons...everything is gud",1
"835",1053,"Totally dislike the work culture. HR put efforts only for the sake of earning points but whole hearted effort of true MNC culture is missing",-1
"836",1054,"1.Telecom Industry is not doing well overall
2.Work can be monotonous at times
3.A lot depends on your manager and team
4.Can be unfair at times, especially ratings and promotions",-1
"837",1055,"Late working hours but flexible",1
"838",1058,"management need to streamline roles and responsibilities.
Mangers to work upon resource management and skill up gradation
Transport facility is pathetic
Admin department is dull",-1
"839",1059,"Old timers dont want to go or reinvent",-1
"840",1060,"Can be stressful at times, can be hard to progress",-1
"841",1061,"Difficult to get hike in salary or promotion before 3 year stint.
Bureaucratic process makes approvals and clearances slow.
Traffic jams at EON IT Park during peak hours of the day.",-1
"842",1062,"Pay scale not normalized as per designation. People below my level are getting greated pay than what I get",-1
"843",1063,"Work life balance is fairly skewed. Pay scale substantially lower than other Telecom and FMCG counter parts. Excessive number of KPIs compared to competitors.",-1
"844",1064,"no increment or very less increment",-1
"845",1065,"Processes are not very simple or fast.",1
"846",1066,"Senior management is very partial",-1
"847",1067,"The policies dont get translated in many cases to actual benefits due to poor middle level managers. Too much of shifting around to various cities if you are in Sales and Marketing - wont let you settle in a city.",-1
"848",1068,"Work culture is really pathetic. People are so rigid , senior people,management have no knowledge about the current and upcoming technologies. If you are a IT person never go for Vodafone it will spoil your career.

Can ask you to leave the organization without even serving the notice.",-1
"849",1069,"Unsecured career, no work life balance",-1
"850",1070,"Some higher level managers are only interested in managing upwards for their own benefits and are not interested in managing their teams.
Parking can be a nightmare.
Hot desking means not always sitting with teams",-1
"851",1072,"Low salary
Limited visibility
Slow growth rate",-1
"852",1073,"Company genuinely does not care about customers or employees. Problems are never dealt with because nobody cares. The agent/store system - Siebel - is quite simply awful and leads to incorrect information for customer and advisor alike. Delivery system used for new devices is shocking and every single day cusotmers are disconnected due to system errors - which affects your credit score. Avoid at all costs or leave …  as soon as possible if you are a customer.Show More",-1
"853",1074,"Overtime often required and not always paid, pressure is quite high, usually understaffed, salaries are at the market median and for some roles very low.",-1
"854",1075,"It is the most political environment I have ever known. It is a playground where bullying is tolerated and if you raise it, you are told to ‘put up and shut up’
East Division is rife with favouritism and people get given promotions based on how much you are liked and not based on your experience.
Promised development in the way of assessments for 2 years and nothing has materialised.
Probably because I am …  not in the club ...

If you are thinking of joining Vodafone then don’t! For your own sanity and Mental Health. Unless you like being bullied, told to shut up and slated publicly.Show More",-1
"855",1076,"Not too technically deep because most of the projects are outsourced to other companies.",-1
"856",1077,"Could not find a negative here. Company is world wide and challenging.",-1
"857",1078,"Nothing as all are good",-1
"858",1079,"discounts are rubbish!!!
company is too driven on targets rather than customer service.",-1
"859",1080,"Worst experiences with pathetic policies at Vodafone shared services India.",-1
"860",1081,"High pressure to meet target",-1
"861",1082,"not uniform culture across. wasteful expenditure on many frills",-1
"862",1083,"work load is too much, unexpected work tracker",-1
"863",1087,"Sr. mgrs need good team management skills. As we all know and they say ""90% of your employees leave because of bad manager's""",1
"864",1088,"Not the job I wanted to be in long term.",-1
"865",1089,"Not enogh opportunities to access higher bands.",-1
"866",1090,"The role is very time demanding, hence no work life balance at times can go for a toss.",-1
"867",1093,"bad talent mapping and career opportunities",-1
"868",1094,"awards and recognition is very poor",-1
"869",1095,"The not so good part is purely related to the job itself ( Account Advisor) as working in the call center doesn't suit everyone, but definitely it is not considered a company's fault.",-1
"870",1096,"No cons I see so far",1
"871",1097,"Lack of growth for employee, do not recognise work against words",-1
"872",1098,"Telecom Industry is going through a bad time",-1
"873",1099,"It can be seen as too agressive when delivering to get things done",-1
"874",1100,"Lots of politics particularly from group, regular headcount culls in fourth quarter, directors operate in silos pointing blame at each other. Keep cutting benefits, often zero pay rise some years. Restaurants are monopolistically priced.",-1
"875",1102,"Lots of restructuring, lack of job stability. Sales people need to learn to respect other functions.",-1
"876",1105,"They have started hiring people from call centers and gave ruined the complete culture.
Highly women centric organization (biased).
Poor leadership, especially corporate Training team",-1
"877",1106,"chance to learn is good",1
"878",1108,"relatively low salaries and slow career path",-1
"879",1109,"Difficulties to grow in a very flat organization",-1
"880",1110,"No cons at all
I mean huge salary =huge work",1
"881",1111,"Work life balance, stress, salary",-1
"882",1112,"Less learning and work place",-1
"883",1113,"very poor network in many palaces",-1
"884",1114,"no work life balance",-1
"885",1115,"The development opportunities are limited",-1
"886",1118,"they have Very slow growth",-1
"887",1119,"No streamlined benefit scheme provided",-1
"888",1120,"Not able to stick for long time,due to political issue with in the company.",-1
"889",1121,"Many processes. Hard to get promotion. You may get bore to do same work.",-1
"890",1122,"Not paid much in term of efforts.",-1
"891",1124,"Promotions are not easy, and there is no set hierarchy for growth.",-1
"892",1125,"No work Life Balace
Not good people Managers",-1
"893",1126,"Have to handle the pressure of sales & also have to maintain service....",-1
"894",1127,"I did not find any cons which needs to be highlighted. I hope they retain the work culture and the employee friendliness going forward also",1
"895",1128,"Internal politics, Cash transaction processes are moving to Ahemdabad from Pune. If you do buttering to management u will be promoted.",-1
"896",1130,"Highly politics driven
Noone hires you after havin telecom experience
Long working hours
Stressful job
Other companies prohibit telecom experience",-1
"897",1131,"Poor management. Mediocre salary. Double Standards. Process flaws. Unavailability of transport service at convenience.",-1
"898",1132,"VODAFONE is having Less Number of Branches in INDIA",-1
"899",1134,"No cons i have seen",1
"900",1135,"WLB, work culture varies from excellent to poor across regions.",1
"901",1136,"communication gape between officers n worker.",-1
"902",1138,"no learning, no process,major attrition at management level",-1
"903",1139,"Less of travel opportunities, Situated in one corner of Pune city, No other location so for transfer you have no option",-1
"904",1142,"Big organisations means extra effort to get noticed. There's politics as with most places.",-1
"905",1143,"More focused on lay down processes irrespective of market secnarios.",-1
"906",1144,"A lot of hierarchy and verticals leads to a slow functioning of any process",-1
"907",1145,"1. No work life balance
2. Team load is sometimes not communicated to the managers effectively
3. Too many processes to get the job done
4. Paperless office is something needs to be implemented (though not too much of paper work but it is still there)",-1
"908",1146,"Growth opportunities, will all the Idea Merger is very less
Slow paced because of lots of cumbersome internal process
Less opportunity to explore and implement ideas, Sr management not prepared to take risks",-1
"909",1147,"Worst leave policy. Worst HR Management.",-1
"910",1149,"Management, evryone got their favourite and support them to grow..the others have to work very hard to come ahead of them",-1
"911",1151,"some access restriction. less team building outings",-1
"912",1153,"pay scale not so good",-1
"913",1154,"Spoon fed graduate program
lack of responsibility by HR for graduates
lack of responsibility and exposure within job roles
not competitive or enough pressure",-1
"914",1155,"Less tranparency in career movemennts",-1
"915",1156,"because of low salary",-1
"916",1157,"Long shifts made work difficult",-1
"917",1158,"Too much of politics from Senior Managers, rest best company to work with.",-1
"918",1161,"Cab service problem, internal politics,no support for cultural activities, 24/7 work all the time",-1
"919",1162,"No staff discount. Limited onsite parking. Very clicky within management",-1
"920",1163,"Not good for those who are looking for job in software development.
Policy changes frequenetly.",-1
"921",1164,"Canteen food is really below par, expensive and bland food. A LOT of employees agree with this, feedback taken but not the best of improvements
Grad scheme placement rotations not the best, get placed in a role without any say and not able to switch roles",-1
"922",1165,"Salary is low, growing path slow, organizational is a mess (nobody knows how to move into the comapany)",-1
"923",1166,"Broken processes means it takes far too long, and costs far too much to deliver anything.
Overly hierarchical means that you can only go one step up at a time.
Very political - management have their favourites.
Opaque performance management process. Goals and objectives are meaningless when it is time to be fit to the curve.
Most people operate in the Newbury bubble, far away from London and reality.",-1
"924",1167,"Internal politics is a area of concern",-1
"925",1169,"No work life balance, senior management doesn’t recognize employee performance. Never try to stop people while leaving company, even if they had performed well. Performance rating are given on basis of preference not on quality of work. Never look on quality of work, always pressurize on quantity.

I have received 3-4 awards and praises in this 4 years that too on recommendation by end customer, but never …  recognized by management or senior managers. This is the main reason I am leaving from this organisation.Show More",-1
"926",1170,"Due to internal competition very often the projects don't leverage other deployments causing inefficient spending.",-1
"927",1171,"--> Bossy management, No value to employees
--> Sexual harassment complaints are not even considered, so a very good company for men.
--> Male dominating culture.
--> Worst work culture
--> You may loose your job if you complain about anything.
--> B",-1
"928",1172,"Need fast growth. Some times work is boring.",-1
"929",1174,"training is awful and hard to pick up quickly",-1
"930",1176,"Poor management and no career path is defined. HR department is waste",-1
"931",1177,"Politcs played among the employees at the lower level.",-1
"932",1178,"Limited exposure to newer technologies",-1
"933",1179,"Limited focus on employee development",-1
"934",1180,"Politics at play, as everywhere.
Very challenging performance reviews.",-1
"935",1182,"not much of growth, no clear career path",-1
"936",1183,"Very slow for decision making and doing new things, hierarchical and structured, treats staff like children in some respects",-1
"937",1184,"Transport management is pathetic here",-1
"938",1186,"Internal growth is not good",1
"939",1188,"No transparency from top to ground level team members",-1
"940",1189,"No cons, this is a great environment.",1
"941",1190,"No Cons which will affect your work",1
"942",1191,"Poor work life balance.
High work time almost 11-12 hours a day & 27 days a month only 3 offs, if extra holiday & Sunday is there month than they ask to work on Sundays.
High pressure on targets. Lot of con calls & VCs.
Abusive & bullying culture by management.
Too much restriction using HSW policy. I was not allowed to travel to my home which is 40 kms away from my job location was …  forced to live locally.

Low job security. Threatening behavior of supervisor.Show More",-1
"943",1192,"Lack of growth opportunities for lower level employees",-1
"944",1193,"Understanding the place is a challenge. You are lost for a few months before you start understanding the place. Complex at times seems just a simple word.",-1
"945",1195,"Highly competitive industry with too many players, High level of regulation by government due to which overall playing field gets restricted.",-1
"946",1197,"Because Vodafone don't qualify the sales people, a lot of businesses I'd call to would have had negative experiences with other Vodafone sales people.",-1
"947",1199,"Bureaucracy
Too much work sometimes
Word word wrd",-1
"948",1200,"Politics is high.
Internal job postings are fixed.",-1
"949",1201,"No Cons that I can count of.",1
"950",1202,"Quite siloed and slow to make decisions",-1
"951",1203,"Not many, except some people take undue advantage of this organisation using their vested interests and connections",-1
"952",1204,"great company lots of processes",1
"953",1205,"As any agile business and working within Telco/tech space the pace is fast",1
"954",1206,"No work life balance
Insensitive management
No recognition",-1
"955",1207,"Management support is shocking and very rude.
High pressure sales",-1
"956",1208,"Less Hike while internal promotions and appraisal.",-1
"957",1209,"Politically motivated people , but again it depends on team to team.",-1
"958",1210,"No place to eat good food. There are problems related to company transportation. There are some issues related to facilities such as gym, swimming pool and tennis courts. No other major cons to specify",-1
"959",1211,"Work load on days at the end of the month.",-1
"960",1212,"Least increment, rules are different for off-roll and on roll employees, no extra benefit, pressurised to work on weekend and extra hours, overtime amount is also not as per government rules.",-1
"961",1213,"Having few problems in India that too due to local management rather than company policies",-1
"962",1214,"HR is a waste of space, sack the lot of them and bring in a chatbot - at least it might learn to smile",-1
"963",1215,"The hike is very less and you are suppose to work extra hours most of the time",-1
"964",1216,"No responsibility
Lack of structured training to freshers",-1
"965",1217,"Slow and cumbersome customer relations tools
Overwhelming amounts of promotions and trainings to know, often little time is left to get to know the products and services",-1
"966",1218,"Work pressure there no work life balance",-1
"967",1219,"Big company with high complexity. NO COO meaning lack of process clarity",-1
"968",1220,"Not enough about operational excellence ... very much about image and story telling, especially in various (huge) central entities. No accountability for the Business' success, whereas everyone is keen on and empowered to look at own belly button.",-1
"969",1221,"Bullying tactics and threats of action plans and constant conference calls where you can be belittled and put down.",-1
"970",1223,"Stress is unimaginable, and the parameters with which they evaluate your performance are insane.",-1
"971",1224,"Very hierarchical. No real progression. Obsessed with bandings",-1
"972",1225,"excess work load montonous routine lack of work lif balance",-1
"973",1226,"Low on Professionalism, can do better",-1
"974",1227,"managers don't pay respect for the employees",-1
"975",1229,"Canteen food not so good.",-1
"976",1232,"not good salary
bad promotion process",-1
"977",1233,"i find some partiality in working.",-1
"978",1236,"Hierarchical, Laid back organization, No clear vision",-1
"979",1237,"Some challenge in timely not pramotion yearly ...so employee disappointed our management and origination .. because some company timely response and promote it ...then big dream join this.mangemants",-1
"980",1238,"Highly political
Quick responses are good some of the time but can lead to sloppy or incomplete answers
Not quite got there in terms of diversification from core mobile business",-1
"981",1239,"Work pressure, some managers underestimate people",-1
"982",1240,"Overall a great business to work for and provided excellent opportunities. Due to the size of the organisation not so easy to influence and drive change unless working at senior level.",1
"983",1241,"HR Process & policies is good",1
"984",1242,"the organization is strong in financials, have opportunities to seek varied exposures in different subjects.Has sufficient infrastructure to perform the delivery of services.",1
"985",1243,"The brand equity you add, the experience you gain and job security it provides. Cool colleagues and wonderful in office amenities",1
"986",1244,"AirtelTigo is an employer of choice",1
"987",1245,"all good. nice company to work with",1
"988",1246,"Great company to work for",1
"989",1247,"Good company to work with , and good exposure to many challenges , you can have personal life unlike other companies ,only top notch professionals you can see",1
"990",1248,"Very dynamic environment and you get to learn a lot.",1
"991",1249,"Complete responsibility is given in Airtel , team is full supportive",1
"992",1250,"I will recommend to others.",1
"993",1251,"Good place to work end enjoy",1
"994",1252,"Exposure .... scale and opportunities",1
"995",1253,"Learnig of new technology",1
"996",1255,"In bharti airtel u feel like u r working with ur family.",1
"997",1256,"Good company to get valuable knowledge",1
"998",1257,"Helpful seniors, a very well laid out YL program, lots of travelling, exposure to new situations and new people, international exposure",1
"999",1258,"Thinks innovative, launches any scheme faster than competitors",1
"1000",1259,"lots of growth opportunites with the company",1
"1001",1260,"more responsibilities
high level access to network
high scope of learning",1
"1002",1261,"Opportunity to grow career wise, but will have to face lot of politics and favoritism",1
"1003",1262,"Good place to work a",1
"1004",1263,"The organization has a dynamic environment that fosters versatility amongst employees. ",1
"1005",1264," Highly competitive environment. ",1
"1006",1265,"Also, higher management very much approachable.",1
"1007",1266,"Good place for the overall development.",1
"1008",1267,"A good payer with good benefits...room to grow in a pan African environment..Great for those who love to travel.",1
"1009",1269,"Big Brand Name, Huge scope of on-the job learning",1
"1010",1270,"Salary, Professional Approach, Management style",1
"1011",1271,"Had a strong vision on growth and plans in Kenya. Coul dhave huge growth potential with teh footprint in Africa",1
"1012",1272,"Good place to learn things with various technology and get to know various devices and lots of work",1
"1013",1273,"Great friendly environment and supportive staff",1
"1014",1274,"work life balance, free data and voice calls for employees, maternity leaves",1
"1015",1276,"Room for growth . International benefits both global and local.financially stable.",1
"1016",1277,"Because Its a One of the Best Multinational Company in Telecom Industry.",1
"1017",1278,"You will get support by senior team/ RM to try your own approach",1
"1018",1279,"free hand to use any technology
no time constraints",1
"1019",1280,"Company culture is good. Nice chances for carrer development",1
"1020",1281,"Innovation,scale of operations and independent decision making for professionals is key",1
"1021",1282,"because i know online bussiness is no. 1 in the world and koovs is a best platform for online",1
"1022",1283,"Great paymaster, Most advanced among all telecom companies currently, opportunity to work in different products, Except sales function Saturday is a holiday",1
"1023",1284,"There are barely any pros here",1
"1024",1285,"Good learning for few initial days .
Good exposure to technical aspects
Nice and clean ambience to sit in",1
"1025",1286,"no work pressure, but senior employee busy to blaming junior and dont know much about when he goes to field....",1
"1026",1287,"I am the primary business contact for Airtel Kenya�s Government and Public sector Clients and responsible for consistently providing excellent customer experience as well as building and maintaining relationships that encourage new and repeat business opportunities with key responsibilities as follows:

� Grow Revenue according to set Monthly targets
� Working closely with project teams in order to maintain �� a continuous knowledge of project status in order to identify potential issues and/or opportunities within the project
� Responsible for all client communication, conflict resolution and compliance to client deliverable to ensure we wade off competition by keeping our customers satisfied.
� Organizing for high profile meetings between Key Government officials and Airtel Network Management Team for purposes of enhancing strong relations between the two to secure business partnerships.
� Reporting on business trends using customer feedbackShow More",1
"1027",1288,"nice growth , nice salary , nice benefit",1
"1028",1289,"at this company you can work full time ..",1
"1029",1291,"Great learning experience
Good for freshers
Lots to learn
Good salaries
Overall good experience",1
"1030",1292,"Professional liberty, processes are set, support functions are strong. You can take independent decisions. Pioneer on many fronts- hello tumes, 4G, unlimited data validity on prepaid.",1
"1031",1293,"Good Culture and a various opportunities in cross functional roles. Financially very strong company and growing globally very fast world wide.",1
"1032",1294,"Airtel provides a great platform for on the job training, great analytical disciple, and entrepreneurial spirit",1
"1033",1295,"brand, opportunities, innovative products, culture, value",1
"1034",1296,"Good Learning, High work pressure",1
"1035",1297,"good company
nice staff package is good",1
"1036",1298,"more organized to working in office",1
"1037",1299,"Its nice place and atmosphere where i learnt many things",1
"1038",1300,"process oriented and good culture",1
